Image,Genre,Style
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x597 at 0x22CCFB0F550>,4,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1659 at 0x22CF3B54580>,7,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1673 at 0x22CF3B54760>,6,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1472x1382 at 0x22CF3B54940>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1965x1382 at 0x22CF3B54B20>,10,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1710x1382 at 0x22CF3B54D00>,2,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1896 at 0x22CF3B54EE0>,10,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1744x1382 at 0x22CF3B550F0>,4,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2149 at 0x22CF3B552D0>,7,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2341 at 0x22CF3B554B0>,6,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2126x1382 at 0x22CF3B55690>,4,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1423x1382 at 0x22CF3B558A0>,2,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2327x1382 at 0x22CF3B55A80>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1806 at 0x22CF3B55C60>,6,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1731 at 0x22CF3B55E40>,6,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1777 at 0x22CF3B56020>,9,15
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2370 at 0x22CF3B56200>,8,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1864 at 0x22CF3B563E0>,3,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1706x1382 at 0x22CF3B565C0>,4,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1849 at 0x22CF3B567A0>,3,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1664 at 0x22CF3B56980>,8,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2002 at 0x22CF3B56B60>,4,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1940x1382 at 0x22CF3B56D40>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1883x1382 at 0x22CF3B56F20>,8,9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1656 at 0x22CF3B57100>,6,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1727x1382 at 0x22CF3B572E0>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1763x1382 at 0x22CF3B574F0>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1864 at 0x22CF3B57700>,10,9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2236x1382 at 0x22CF3B578E0>,8,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1832 at 0x22CF3B57AC0>,5,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1808 at 0x22CF3B57CA0>,6,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2406 at 0x22CF3B57E80>,7,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1746x1382 at 0x22CF3B640A0>,9,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1857 at 0x22CF3B64280>,10,15
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1832 at 0x22CF3B64460>,6,9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1927x1382 at 0x22CF3B64640>,4,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1744 at 0x22CF3B64820>,7,15
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2068 at 0x22CF3B64A00>,10,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2096 at 0x22CF3B64BE0>,5,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1725 at 0x22CF3B64DC0>,6,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1700 at 0x22CF3B64FA0>,9,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1943 at 0x22CF3B65180>,6,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1902x1382 at 0x22CF3B65360>,8,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2258x1382 at 0x22CF3B65540>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1987x1382 at 0x22CF3B65720>,9,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1908 at 0x22CF3B65900>,2,9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2062 at 0x22CF3B65AE0>,6,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1889x1382 at 0x22CF3B65CF0>,4,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2606 at 0x22CF3B65ED0>,8,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1644 at 0x22CF3B660B0>,2,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1868 at 0x22CF3B66290>,6,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2144 at 0x22CF3B66470>,2,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2678x1382 at 0x22CF3B66650>,8,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1753 at 0x22CF3B66860>,10,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1751x1382 at 0x22CF3B66A40>,4,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1675 at 0x22CF3B66C20>,6,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1924x1382 at 0x22CF3B66E00>,1,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1666 at 0x22CF3B66FE0>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1542 at 0x22CF3B671C0>,5,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2357x1382 at 0x22CF3B673A0>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1756 at 0x22CF3B67580>,6,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2003 at 0x22CF3B67760>,2,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1722 at 0x22CF3B67940>,3,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2105x1382 at 0x22CF3B67B20>,10,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2245x1382 at 0x22CF3B67D00>,2,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1663 at 0x22CF3B67EE0>,10,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1816 at 0x22CF3B70100>,3,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1566 at 0x22CF3B702E0>,6,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2764 at 0x22CF3B704C0>,2,15
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1941x1382 at 0x22CF3B706A0>,7,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1974 at 0x22CF3B70880>,6,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2045x1382 at 0x22CF3B70A60>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2004 at 0x22CF3B70C40>,2,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1893x1382 at 0x22CF3B70E20>,7,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2212 at 0x22CF3B71000>,6,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1682 at 0x22CF3B711E0>,6,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1685x1382 at 0x22CF3B713C0>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1906x1382 at 0x22CF3B715A0>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1382 at 0x22CF3B71780>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1668x1382 at 0x22CF3B71960>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1899x1382 at 0x22CF3B71B40>,4,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1552x1382 at 0x22CF3B71D20>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1744 at 0x22CF3B71F30>,3,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2108x1382 at 0x22CF3B72110>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1752x1382 at 0x22CF3B72320>,10,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2146x1382 at 0x22CF3B72500>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1995x1382 at 0x22CF3B72710>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1968x1382 at 0x22CF3B728F0>,2,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1845x1382 at 0x22CF3B72AD0>,1,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1776x1382 at 0x22CF3B72CB0>,5,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2462x1382 at 0x22CF3B72E90>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1842x1382 at 0x22CF3B73040>,10,9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1939x1382 at 0x22CF3B73220>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1601 at 0x22CF3B73400>,6,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2050x1382 at 0x22CF3B735E0>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1823x1382 at 0x22CF3B737C0>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2126x1382 at 0x22CF3B739A0>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1865x1382 at 0x22CF3B73B80>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1718 at 0x22CF3B73D60>,10,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1669x1382 at 0x22CF3B73F40>,9,7
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1532x1382 at 0x22CF3B78160>,2,17
